comments,N,lang,en-en,comments
"De communicatie vooraf was prima. Prettig mailcontact met Claire, die snel reageerde en met leuke tips kwam. ",1,afrikaans,nl-en,"The communication in advance was excellent. A nice email contact with Claire, who reacted quickly and with great tips. "
"Accommodatie was top. De buurt is wat minder, midden in de Afrikaanse wijk, maar verder geen enkel probleem. hoewel we de verhuurder niet hebben gezien was alles prima georganiseerd en geregeld. ",1,afrikaans,nl-en,"Accommodation was top. The neighborhood is a little less, in the middle of the African neighbourhood, but there is no problem. although we are the landlord have not seen, everything was well organized and arranged. "
"Dit apartement ligt op een geweldige plek. Fijne buurt met handige en leuke winkels/ restaurants. We voelden ons veilig en thuis. Schoon gebouw en een prettig huis met veel gemakken om tot rust te komen een drukke dag in Parijs. Openbaarvervoer op minder dan 10 minuten afstand. De Sacre Coeur op ongeveer 15 minuten afstand, een geweldige plek om de dag te beginnen of af te sluiten. We're in love with Paris, thanks to Samuel! Merci! ",1,afrikaans,nl-en,"This apartment is located in a great place. Great area with convenient and fun shops/ restaurants. We felt safe and at home. Clean building and a nice house with many comforts to relax in a busy day in Paris. Public transportation less than 10 minutes away. The Sacre Coeur basilica about 15 minutes away, a great place to start the day or to exit. We're in love with Paris, thanks to Samuel! Thanks! "
"Danielle是一個非常善良且熱心的房東,提供我們很多有用的資訊和協助, 整齊小巧的房間,設備齊全的廚房和浴室和便利的交通, 讓我們亨受了美好的假期｡",1,afrikaans,zh-en,"Danielle is a very kind and enthusiastic landlord,provided us many useful information and assistance, neat compact rooms,a fully equipped kitchen and bathroom and the convenience of traffic, let us hang by a wonderful holiday home."
Mooi appartement. Top locatie. Alleen maar genoten!,1,afrikaans,nl-en,Nice apartment. Top location. Just enjoyed!
Snelle reacties van verhuurder. Aankomst soepel. Mooie ruimte in leuke buurt. Met gezin paar topdagen gehad. Raad het van harte aan!,1,afrikaans,nl-en,Quick responses from the landlord. Arrival smoothly. Nice room in nice neighborhood. With family few peak days. Council of heart!
"생드니 지역이 좀 위험한 지역이지만 파리는 다 위험한 지역이니 이상한 행동만 안하면 괜찮음. 지하철 역에서 숙소까지 가깝고 숙소 바로 앞에 마켓이 있어서 편함. 

호스트 줄리앙은 너무 착하고 유쾌하고 편하게 해줬고 심지어 체크인도 일찍 할 수 있더록 배려해줌. 메시지 보내면 모든 질문이 친절히 응답해줌. 

파리 다시오면 다시 이용할생각 100%임. 샤워부스가 작긴하지만 나는 키가 181에 몸무게 90인데 편하게 씻음. 고민하지 말고 이 숙소 잡으면 좋겠다. 

더 많은 후기나 질문은 인스타로 부탁해요. vakoww",1,afrikaans,ko-en,"Saint-Denis area, more dangerous area, but in Paris the dangerous area, this strange behavior not to be okay. From the subway station to the hostel until close to and in front of the property market in a big way. 

The host Julien is too nice and Jolly and comfortable, I even check-in early can to zoom. Send a message to all the questions kindly response.. 

Paris back to back this idea 100%. Shower is small but I am tall 181, weight 90 easy to wash. Do not worry, this city. 

More then one question, the other as a favor. vakoww"
"집 넘나 예쁘고 교통 편리합니다. Bellville 역에서 도보 5분이고 빠리 어디든 쉽게 가실 수 있습니다. 주인장의 세심한 배려와 친절도 오래 기억에 남을 듯 하네요. 참고로 Belleville에 오시면 빠리의 실생활 문화 물가와 만날 수 있습니다. 관광지를 벗어난 기쁨이랄까요. 다문화 지역이라 일식 중식 동남아식 한식까지 적당히 골라 드시기도 편합니다. 

Hello Maia,
I was so happy to stay in your home. I will remember your warm welcome.",1,afrikaans,ko-en,"The house beyond pretty and convenient for transportation. Bellville station is in 5 min walk and we where all easily accessible. Most of the attention to detail and the friendly memorable seems to. Note as Belleville if you fall of a real life culture water and can meet. Attractions beyond joy, far. Multicultural area Japanese Chinese Southeast Asian food Korean food until moderately pick up. 

Hello Maia,
I was so happy to stay in your home. I will remember your warm welcome."
"Prima plek als uitvalsbasis om Parijs te bezoeken. Wel wat kleiner dan verwacht, afgaand op foto's en prijs, maar prima in orde. Goede locatie, wel wat lawaai op straat.",1,afrikaans,nl-en,"Great place as a base to visit Paris. Bit smaller than expected, based on photos and price, but in good order. Good location, some noise on the street."
Alles war top,1,afrikaans,de-en,Everything was top
Au top :),1,afrikaans,en-en,Au top :)
Very welcome host. Recomendet !,1,afrikaans,en-en,Very welcome host. Recomendet !
"Het verblijf is erg goed bevallen. Om de hoek van de metro, supermarkt én bakker. In het appartement was Wi-Fi aanwezig. Bij aankomst lag er een kleine voorraad aan koffie, thee en broodbeleg klaar. Afwassen was niet nodig aangezien er een vaatwasser is. Verder liggen de bedden prima en ziet het verblijf er prima uit. Mochten we nog eens naar Parijs gaan, is dit een ideaal en goedkoop verblijf om nog eens te boeken!",1,afrikaans,nl-en,"The stay is very good. Around the corner from the metro, supermarket and bakery. The apartment had Wi-Fi available. Upon arrival there was a small stock of coffee, tea and a sandwich ready. Washing dishes was not necessary, since there is a dishwasher. Furthermore, the beds excellent, and see it stay there fine. We were even going to Paris, this is an ideal and inexpensive stay for more books!"
Hij heeft niet iets gedaan om ons welkom te laten voelen. het leek erop of ze in haast vertrokken waren. maar  t voelde ook relaxt,1,afrikaans,nl-en,He has not done anything to make us feel welcome. it seemed as if they in haste had left. but t felt also relaxed
"위치가 주요관광지 반대편이라 30분정도 대중교통을 이용해야했지만 주택가라 조용하고 쾌적했어요
방브시장이 가까웠구 주변에 마트 많음 ㅋ
다시 가도 이 지역으로 가고싶네용
Thank you lionel. Everytging was great.",1,afrikaans,ko-en,"Location major attractions are the opposite 30 minutes public transport had to be but the housing is quiet and pleasant.
Vanves market was close friends around a lot.
Go back to this area and I'm available
Thank you lionel. Everytging was great."
"非常精致小巧的公寓 该有的都有了 地理位置非常好 两分钟走到老佛爷和春天 地铁站 超市 眼镜店 药店,非常干净 利用率高 房东也很好说话 愉快的一次体验",1,afrikaans,zh-en,"Very compact apartment the others have very good location two minutes walk to Galeries Lafayette and Spring Metro station, supermarket, opticians pharmacies,very clean and high utilization rate of the landlord is also very easy and pleasant experience"
Super week end! Super appart!,1,afrikaans,en-en,Super week end! Super appart!
"너무 훌륭했습니다. 다음에 또 파리에 여행을 오게된다면, 친구들이 파리여행을 계획중이라면 여기를 추천해주고 싶네요. 숙소는 정말 깨끗하고 생활에 편리한 모든것들이 다 갖춰져 있어서 부모님이 정말 좋아하셨어요~ 감사합니다. Dine. 여행에 있어 숙소도 정말 중요한 부분을 차지하는데 우리는 더할나위없이 만족하고 편하게 있다가 갑니다. 지하철역이랑도 가까워서 이동하기 편했어요~",1,afrikaans,ko-en,"So wonderful...... Then on another trip to Paris, friends in Paris to plan when here to the. The hostel is really clean and the life convenient for all of them the equipped parents really liked them~ thank you. Dine. Travel accommodation is really important part that we have satisfied and relaxed...... Local restaurant also near the hotel.~"
"Alejandra was heel flexibel in verband met aankomst en vertrek en heel bereidwillig om op vragen in te gaan.  
Het huis is zeer proper en comfortabel ingericht.  Een zeer ruime slaapkamer met airco.  Beneden iets kleiner maar ruim voldoende.
Een zeer vriendelijke ontvangst.",1,afrikaans,nl-en,"Alejandra was very flexible in relation to arrival and departure, and very willingly to questions. 
The house is very clean and comfortably furnished. A very spacious bedroom with air conditioning. Down something smaller but more than enough.
A very friendly reception."
sophie人非常好 会帮忙买早餐洗衣服 家里设施也非常齐全 距离地铁站也非常近 是个很好的地方,1,afrikaans,zh-en,sophie who is very good will to help buy Breakfast Laundry Home facility is also very well equipped from the metro station and also very near is a good place
Séjour top. Je recommande.,1,afrikaans,fr-en,Stay top. I recommend.
"很開心可以在這裡住宿,房子裡有很多畫跟藝術品,非常的美
樓下跟斜對面就有超市,附近不管是吃的還是交通,都非常方便也很安全, 晚上鐵塔的view超美 特別喜歡待在陽台看鐵塔,我非常喜歡在這裡住宿 
希望還有機會來住❤❤❤",1,afrikaans,zh-en,"Very happy to be here to stay,the House has many paintings with works of art,very beautiful
Downstairs with diagonally opposite there is a supermarket nearby,whether it is eating or transportation,are very convenient but also very safe, at night the tower the view is super beautiful especially like to be on the balcony to see the Eiffel Tower,I like very much here to stay 
Hope to have the opportunity to live❤❤❤"
sophie의 숙소는 정말 끝내줬습니다.,1,afrikaans,en-en,sophie의 숙소는 정말 끝내줬습니다.
Een klein maar geweldig appartement met veel privacy en op een heel centrale locatie.  Aanrader,1,afrikaans,nl-en,A small but great apartment with lots of privacy and in a very central location. Recommended
"Charmante maison, un merveilleux week end",1,afrikaans,fr-en,"Lovely house, a wonderful weekend"
Top rien a dire.,1,afrikaans,fr-en,Top nothing to say.
Alles war bestens,1,afrikaans,de-en,Everything was fine
"It was terrible
당일날 도착했더니 방이 꽉 차서 침대가 없다고 다른주소를 주며 거기로 오라고 통보함
무려 한달 전 쯤 예약 끝냈는데도 당일날 통보
캐리어 끌고 10분 걸어갔는데 호스트의 개인 집.
여자 혼자라 무서웠고 당황스럽고 저녁 일정 망침.
집에서 이상한 냄새나고 우중충해서 기분 상하고 진짜 너무 기분 안좋았음.
그리고 다음날엔 자리있다고 숙소로 감.
여성전용 룸 예약했고, 메세지로 미리 확인까지 하고 갔는데 여성전용 룸 꽉찼다고 공용룸에 배정해줌.
예약은 아무 상관 없음 그냥 호스트 마음대로임
최대한 사람 많이 받으려고 여성전용이고 뭐고 그냥 되는대로 끼워맞춤. 초과예약도 해서 나처럼 호스트 집에서 자고온 친구 또 있었음
그리고 셋째날 또 방 옮김. 여성전용룸 자리 하나 있다고 거기로 옮기라해서 또 옮김.

절대 예약하지마세요 너무 열악하고
호스트를 신뢰할 수 없어요
예약한건 아무 소용없어요
당일날 그냥 통보식으로
주소도 바꾸고 방도 바꾸고 여성전용이고뭐고 안지켜져요

",1,afrikaans,ko-en,"It was terrible
On the day of arrival was the room full of beds and have no other address and there come and advice, including
What a month ago was book ended even on the day of the notice
Put us 10 minutes walked to the host's private home.
A woman alone was scared and embarrassed and the evening schedule hope.
At home, strange odors or and excellence in the mood and real feel too bad.
And the next day their there and the hostel.
Female only, room booking, message check up and went to bed full and public room on the ship to zoom.
Booking is nothing to do then just the host as the game
The maximum for people who receive a lot of want for women and what and just being a great fit. Exceed the reservation that I like the host at home and your friends or.
And on the third day or room to move. Female only room and there is one there, move on or move.

The absolute reservation not too harsh and
Hosts can not be trusted.
Booking conditions no use.
The same day that you just notice with
Address change and change for women and the USO, and not by.

"
Super valeur. Propre. Design. Super séjour.,1,afrikaans,fr-en,Super value. Own. Design. Super stay.
Super locatie. Kleine ruimte maar precies wat je nodig hebt voor een weekend Parijs. Alles was schoon en netjes dus zeker een aanrader.,1,afrikaans,nl-en,"Super location. Small space but exactly what you need for a weekend in Paris. Everything was clean and tidy, so would definitely recommend it."
Super pour un weekend,1,afrikaans,en-en,Super pour un weekend
"場所もいいし､快適な部屋でしたが､ちょっとﾎｽﾄさんとｺﾐｭﾆｹｰｼｮﾝが取れない気がしました｡まずﾁｪｯｸｲﾝ時間を事前に伝えたのに､ついたら本人が仕事で不在でした｡仕方なく荷物だけｺﾞﾐ箱置き場において観光に行った｡あと､最初にirisさんに何かﾙｰﾙがあるのかって聞いて､彼女はこの部屋で何してもいいよって答えたのに､洗濯機を使うと､なんで無許可で洗濯機を使ったの?って怒られた｡他にもいろいろありますが､すごく神経質の方だと感じました, I just feel like I was not welcome in this home｡それを気にしなければ､本当に素敵なﾘｽﾃｨﾝｸﾞだと思います｡かわいい猫が一匹で､こんな人慣れの猫初めてみました｡",1,afrikaans,ja-en,"Location good and comfortable room but Hey host families and cost currently involved manual what frames my row and watching it do it. First check the list and in the meantime I am using I love this app hours in advance, tell of, and some personal work in the absence of the student. I Luggage just cost my boss a box is a place to explore was! There, the first iris to do something maybe few have heard, the SHE in this room what I have answered, and washing machine use, the not unauthorized in a washing machine use? Angry from the heart. The other sense, the many nervous of how I felt, I just feel like I was not welcome in this home｡ It don't mind to, really nice phone I live love I I think it. The cute cat one, and this person used a cat for the first time base."
위치적으로 시내 중심가에서 가깝고 지하철역에서 도보로 2분거리와 대로주변의 안전하고 조용했던 깨끗한 집이었다. Host들 또한 매우 친절하고 정말 플랑스 현지인처럼 가정집에서 생활해보길 원하는 여행자들에게 추천하고 싶다.. 다음기회에 또다시 방문하고 싶다. 매우 추천함...^^,1,afrikaans,ko-en,Location as near to the city centre Metro Station 2-minute walk from and stand around the safe and had clean house was. Hosts also very friendly and really France like a local in life and want to the want to ... the following opportunities in or want to visit. Very slowly...^^
很好 我们因为手机网络问题 没有及时收到和回复Daniel而迟到 他在第一时间给予回复和帮助 房屋靠近地铁和车站 餐厅面包房 很好,1,afrikaans,zh-en,Good for us because the mobile phone network questions not received in a timely manner and reply to the Daniel and the late him in the first place to give back and help the houses close to the metro and bus stations restaurant bakery very good
"숙소 바로 근처에 monopo’ 마트도 있고 rome, europe 등 4개 이상의 지하철 역이 가까워서 편했습니다. 오페라역 까지 도보로 이동가능한 거리여서 그 근처 관광지는 대중교통 이용 없이 돌아다녔네요. 방은 아담하지만 화장실, 세탁기, 드라이기, 주방이 갖추어져있어서 지내는 동안 편리했습니다. 체크인 당일날 윌리엄이 집 앞에서 저희를 맞아주었고, 짐도 방까지 옮겨주었습니다. 정말 친절하고 세심한 호스트였어요. 파리에 있는동안 잘 지냈습니다:-D",1,afrikaans,ko-en,"The hostel is right near monopo’ Mart and rome, europe, etc more than 4 of the subway station steps from the. Opera station walking distance and near the tourist attractions using public transportation without wandered. The room is small but toilet, washing machine, dryer, kitchen is equipped in the hotel. Check-in on the day of William the house in front of us to greet, Luggage room until the move. Really friendly and attentive host. In Paris during the well-spent.:-D"
Super område.,1,afrikaans,no-en,Super area.
"verblijf sympathiek,host sympathiek en buurt sympathiek. we komen graag terug.",1,afrikaans,nl-en,"stay sympathetic,host, a sympathetic and close to sympathetic. we would be happy to come back."
Be aware rooms not ensuite.,1,afrikaans,en-en,Be aware rooms not ensuite.
사진과 비슷하구요 위치는 샹제리제거리와 가깝구 근처에 지하철역이랑 바로앞에 버스정류장이 있어 편했어요. 그리고 건너편에 monop 마트있는게 가장 좋았구요. 아쉬웠던 점은 파리가 급 더워졌는데 에어컨이랑 선풍기가 없어 힘들었어요. 그리고 침대에 약간이 보풀이 있어 아쉬웠습니다. 딱 가격만큼 하는것 같아요,1,afrikaans,ko-en,Photos and similar. location are Champs Elysees and close friends near a subway station right in front of the bus are comfortable. And across the monop-Mart to be the best. Difficult point is that Paris is more of your classmates constructed a air conditioning love the fan has no power. And on the bed a little fluff there. Good that it's like.
"Fijn licht appartement. Op loopafstand van Sacre Coeur. Bed is smalle tweepersoons. Matras stevig, maar niet te. Alles was schoon. Wc wel heel klein maar apart van badkamer. Keuken prima. Zelfs halve vaatwasser. Contact met Matthieu was plezierig, maar alles deed het dus we hebben weinig contact gehad. Zeker een plek om naar terug te komen!",1,afrikaans,nl-en,"Nice light apartment. Within walking distance of Sacre Coeur. The Bed is narrow double. Mattress firmly, but not too. Everything was clean. Toilet is very small but separate bathroom. Kitchen fine. Even half a dishwasher. Contact Matthieu was enjoyable, but all did it so we have little contact. Definitely a place to return to!"
petit appart sympa pour  week end,1,afrikaans,fr-en,"small apartment, nice for weekend"
Au top !!!,2,afrikaans,en-en,Au top !!!
"Zeer klein appartement (maar dit is natuurlijk Parijs). Vriendelijke en flexibele ontvangst. Appartement was net, maar aan opfrissing toe.",1,afrikaans,nl-en,"Very small apartment (but this is, of course, Paris). Friendly and flexible reception. Apartment was just, but to park."
"Elsa communiceert alles goed! Locatie is top, voorzien van handdoeken en voldoende wc papier en shampoo. Geen airco maar met de ramen open was dit goed te doen ondanks dat het warm weer was. Appartement heeft alles wat je nodig hebt!",1,afrikaans,nl-en,"Elsa communicates everything good! Location is top, with towels and enough toilet paper and shampoo. No air conditioning but with the windows open, this was good to do although the hot weather was. Apartment has everything you need!"
Hôte sympa.,1,afrikaans,fr-en,Friendly host.
"homey place, very nice neighbourhood ",1,afrikaans,en-en,"homey place, very nice neighbourhood "
"Wonderful, kind host. Very large, spacious apt. Has everything you need. Very homey.",1,afrikaans,en-en,"Wonderful, kind host. Very large, spacious apt. Has everything you need. Very homey."
"De advertentie fotos klopt wel , maar ik vond zelf niet echt een goed plek om te verblijven :-( voel me niet echt veilig . De verhuurder was niet echt bereikbaar  dat vind ik ook minder ...",1,afrikaans,nl-en,"The ad pictures is correct , but I found myself really not a good place to stay :-( do not feel really safe . The landlord was not really accessible I think that is also less ..."
"Appartement was opgeruimd en schoon. Alles wat ik nodig had was er. 
Rustige buurt maar toch vlakbij metro, Montmartre te voet bereikbaar.
",1,afrikaans,nl-en,"Apartment was tidy and clean. Everything I needed was there. 
Quiet neighborhood but still close to metro, Montmartre can be reached on foot.
"
"넓지는 않지만 깨끗하고 안락한 인테리어
시내에서 가까운곳에 위치
편안한 체크인, 체크아웃",1,afrikaans,ko-en,"Spacious but not quiet
In the city close to the location
Comfortable check-in, check-out"
"這間酒店的服務非常周到,提供穿梭車接送,每天清潔,環境衛生｡雖然我住的房間內沒有冰箱和微波爐,但職員讓我們隨意用酒店內的設備,非常helpful｡酒店距離地鐵站很近,大概5分鐘,隔一條街便商店臨立,藥庄､餐廳､超市､麵包店､百貨公司⋯⋯一應俱全,非常便利｡酒店環境寧靜,可安心居住｡",1,afrikaans,zh-en,"This hotel services very thoughtful,to provide Shuttle transfer,daily cleaning,and sanitation areas. Although I live in the room no fridge and microwave,but the staff let us feel free to use the hotel's equipment,very helpful as well. The hotel from the Metro Station very close,probably 5 minutes,across the street from the store Pro., administration of village and restaurant, and supermarkets, and bakeries, and Department stores⋯⋯readily available,very convenient location. Hotel environment quiet,safe residential area."
"Het was heel gezellig, de locatie was top en het huis gezellig",1,afrikaans,nl-en,"It was very nice, the location was great and the house cozy"
"房东特别的热情好客也很好沟通｡房子位于louis vuitton街对面的房子,距离市中心的景点和高级米其林餐厅都非常的进｡房子设计合理温馨,适合双人居住➕",1,afrikaans,zh-en,"Landlord special hospitality is also very good to communicate well. The house is located in louis vuitton the house across the street,from the city centre attractions and superior Michelin restaurant are very into the apartment. The house design is reasonable warm,suitable for Double Live I wish"
Das war alles ok,1,afrikaans,de-en,It was all ok
"Een mooie kamer, goed bed, nette badkamer, helemaal mooi. Een aanrader. Leter wel op dat het 10 euro extra kost om je auto te parkeren in hun parkeergarage, ook al zegt de advertentie dat het gratis is.",1,afrikaans,nl-en,"A nice room, good bed, clean bathroom, quite nice. A must. Leter, however, that the 10 euro extra charge to park your car in their parking garage, even though it says in the ad that it is free."
Séjour top et hôte top,1,afrikaans,fr-en,Stay top host and top
"très bien, very nice.",1,afrikaans,fr-en,"very well, very nice."
"虽然面积不大,但是应有尽有｡位置就在凯旋门附近,交通也很方便｡房东还非常热心的把有用的信息做成了word,好评",1,afrikaans,zh-en,"Although small in size,but everything well. Position in the Arc de Triomphe nearby,the traffic is also very convenient as well. The landlord is also very helpful to put useful information into the word,praise"
Super week-end dans le marais !!!,1,afrikaans,fr-en,Super weekend in the swamp !!!
Prima hotel op goede locatie. Wel veel geluidsoverlast van naast gelegen kamers.,1,afrikaans,nl-en,The hotel is in a good location. A lot of noise from adjacent rooms.
Het is klein maar wel genoeg,1,afrikaans,nl-en,It is small but enough
Hote top,1,afrikaans,en-en,Hote top
"mouton duvernet 지하철역을 이용해서 다녔어요 저는 여기서 멕시코인 친구도 사귀었고 좋았어요 여기 근데 enjoy hostel입니다 길 찾을때 참고하세요
감사합니다",1,afrikaans,ko-en,"mouton duvernet subway station in this went I here the Mexican friends were and it was great here but enjoy the hostel. directions I see
Thanks"
Génial et top,1,afrikaans,fr-en,Awesome and top
Week end super :),1,afrikaans,en-en,Week end super :)
Séjour toujours nickel,1,afrikaans,fr-en,Stay always nickel
sam muy amable y helpful,1,afrikaans,en-en,sam muy amable y helpful
Bien pour un week end.,1,afrikaans,fr-en,Well for a weekend.
het was dik in orde leuk en ontspannend.,1,afrikaans,nl-en,it was fine and fun and relaxing.
thomas   mersi ... ok..,1,afrikaans,en-en,thomas   mersi ... ok..
"위치가 아주 좋음. 오페라와 마들린 사이에 있어서 어디지역에서던지 오기편하고 늦은시간에도 안전함. 주변에 카페,슈퍼, 식당들도 많음. 발코니가있어 view 도 좋음. 인테리어도 깔끔 모던함. sophie&stephane 연락도 빠름. 강력추천합니다.",1,afrikaans,ko-en,"The location is very good. Opera and Madeline in where in was long and late hours in the safe. Around cafes,supermarkets, restaurants. Balcony has view good. Interior also neat and modern. sophie&stephane contact and also fast. Powerful recommendation."
Super week-end merci bcp,1,afrikaans,en-en,Super week-end merci bcp
"Heel vriendelijke gastheer, klein maar fijn. Alles wat je nodig hebt.",1,afrikaans,nl-en,"Very friendly host, small but nice. Everything what you need."
Maakt waar wat hij beloofd. Reageert snel. Goeie locatie.,1,afrikaans,nl-en,Make true what he promised. Is quick to respond. Good location.
"Tevreden over dit appartement. 
Het was klein en oud maar voldeed prima. 
Je moet wel flink trap lopen naar de 6e etage.",1,afrikaans,nl-en,"Satisfied about this apartment. 
It was small and old but did fine. 
You have quite a long staircase walk to the 6th floor."
super lokatie. Vriendelijke gastheer. Makkelijke toegang. Zeer proper appt. ideale uitvalsbasis,1,afrikaans,nl-en,super location. Friendly host. Easy access. Very clean appt. ideal base
"Het huis van Djanet lag op een perfecte locatie, bijna naast het metrostation. Van hieruit konden we alle highlights van Parijs prima bezoeken. Het huis is klein maar praktisch ingericht, met daadwerkelijk alles wat je nodig hebt.

Djanet was heel behulpzaam. Ze spreekt alleen Frans, maar het was goed te volgen met wat woordjes Engels tussendoor. Ze heeft ons ook nog wat tips gegeven voor de buurt. Alles bij elkaar een mooi weekend!",1,afrikaans,nl-en,"The house of Djanet was in a perfect location, almost next to the metro station. From here we were able to all highlights of Paris excellent visit. The house is small but functional, with actually everything you need.

Djanet was very helpful. She speaks only French, but it was good to follow with some words of English in between. They also gave us some tips for the neighborhood. All in all a great weekend!"
war alles tip top,1,afrikaans,en-en,war alles tip top
Top Lage,1,afrikaans,en-en,Top Lage
"침실에서 보이는 에펠탑이 환상입니다. 
꼭 가세요. Evan또한 굉장히 프렌들리하고 많은것을 배려해줍니다. 단언컨대 최고의 숙소입니다.",1,afrikaans,ko-en,"From the bedroom view of the Eiffel Tower is an illusion. 
Go. Evan is also very friendly and a lot of it to care. Right best place to stay."
"Een erg gezellig appartement, maar erg vies... Volle wasmanden met vuile was van de bewoner naast het bed, vieze tandenborstel op de wasbak, keuken met smerige, gebruikte theedoeken etc. Superjammer!",1,afrikaans,nl-en,"A very nice apartment but very dirty... Full laundry baskets of dirty laundry from the resident next to the bed, dirty toothbrush on the sink, kitchen, with dirty, used towels etc. Superjammer!"
Basic maar ok !,1,afrikaans,en-en,Basic maar ok !
Très sympa pour le week-end top,1,afrikaans,fr-en,Very nice for the weekend top
Une hôte au top,1,afrikaans,fr-en,A host at the top
"Goede locatie, geweldig weekend gehad!",1,afrikaans,nl-en,"Good location, great weekend!"
toujours nickel,1,afrikaans,fr-en,always nickel
Toujours nickel,1,afrikaans,fr-en,Always nickel
Super week-end merci à vous,1,afrikaans,fr-en,Great weekend thanks to you
alles in orde was en prefect,1,afrikaans,en-en,alles in orde was en prefect
Die Wohnung war in top Lage.,1,afrikaans,de-en,The apartment was in a great location.
"Leuk appartement, ideaal om te citytrippen met wat vrienden!",1,afrikaans,nl-en,"Nice apartment, ideal for going on city trips with some friends!"
Het was een super locatie en gast vrije verhuurders. Prima verblijf gegad hier. Was alleen wat stoffig hier en daar en wat onhandig dat papier niet in toilet weggespoeld kan worden.,1,afrikaans,nl-en,It was a super location and a guest free landlords. Excellent stay gegad here. It Was only some dust here and there and a bit clumsy that paper not in the toilet washed away.
Perfecte locatie met meer dan genoeg ruimte (we waren met 2 volwassenen en 1 kind van 1.5 jaar oud.) Laurie was duidelijk en lekker snel  in haar communicatie.  Ideaal voor ons was de plaats om ons kind te verzorgen en te laten slapen.  Speelgoed enz was er ook. Zeker een aanrader.,1,afrikaans,nl-en,Perfect location with more than enough space (we were 2 adults and 1 kid of 1.5 years old.) Laurie was clear and quick in her communication. Ideal for us was the place for our child to take care of and sleep to let. Toys etc was also there. Certainly a must.
"좋은 위치. 교통이 편리하고 카페, 식당, 편의시설이 가까이에 있다. 그리고 이웃들이 매우 친절하다. 나는 그들에게 많은 도움을 받았다. 5층이라 올라가기 매우 힘들었지만 별로 문제되지 않았다. 나는 그곳에서 많은 경험을했고 매우 즐거운 시간을 보냈다. 그리고 특히 Dina는 매우 친절했고 모든 문제를 빠르고 정확하게 해결해주려고 노력했다. 나는 이 집을 추천한다.",1,afrikaans,ko-en,"Good location. Convenient transportation and cafes, restaurants, amenities nearby. And the neighbors very friendly. I helped them a lot. 5 floor climb was very hard, but the problem was not. I had a lot of experience in and had a very enjoyable time spent. And especially Dina is very friendly and had all the problems quickly and accurately solves tried. I House recommend."
Slaapkamer met smal 2 persoonsbed te huur met gedeelde badkamer.,1,afrikaans,nl-en,Bedroom with narrow 2 bed to rent with shared bathroom.
"Petit bar sympa en bas, pas trop de vis a vis le week end, bon séjour à vous!",1,afrikaans,fr-en,"Small nice bar in the bottom, not too much vis a vis the weekend, have a good trip to you!"
"虽然没有见到Lydie本人,但她一直都保持联系,很好沟通｡房子所在的区域很好很安全,虽然不在市中心,但离地铁很近交通方便,去各个景点也很方便｡房子带有电梯实在是省事不少,住的很开心｡",1,afrikaans,zh-en,"Although not seen Lydie herself,but she always keep in touch,good communication, and great views. The house is located area very good security,although not in the city centre,but away from the subway is very near the traffic is convenient,go to the various attractions is also very convenient as well. House with Elevator is really save a lot,Live Happy House."
"Daniel的房子相当的干净精致,并且让人觉得很温馨｡有干净的毛巾､热水壶､茶饮､冰箱､糖果和暖气,地理位置也很好,附近有地铁站,入住体验非常好｡",1,afrikaans,zh-en,"Daniel house is quite clean and sophisticated,and make people feel very warm house. There are clean towels and hot water kettle, and tea, and refrigerator, and candy, and heating,location is also very good,close to a metro station,check-in experience very good as well."
"住的地方很安静,但离各个景点不远｡屋里很干净,卫生间也够用｡Daniel还给每个客人准备了茶和小甜点｡如果下次再去巴黎,仍然会选择这里｡",1,afrikaans,zh-en,"A place to live very quiet,but from the various attractions not far from home. The house was very clean,toilet also enough room. Daniel gave each of the guests to prepare tea and small desserts as well. If the next time you go to Paris,still will choose here as well."
jonas의 집은 파리의 16구에 위치한 곳으로 치안에 굉장히 안전한 곳입니다. 다만 대중교통 이용이 좀 애매했고 근처 5~7분 거리에 슈퍼가 있고 그외에는 전형적인 부촌의 주거지역 거리입니다. 집은 너무나 깨끗하고 주방시설 세탁까지 모든걸 만족시킨 집입니다. 저희 가족은 에어비앤비가 처음이었지만 모두가 만족했습니다.,1,afrikaans,ko-en,"jonas House of Paris of the 16th arrondissement, located on the treatment in a very safe place. Just use the public transportation a little vague and had near 5 to 7 minutes on the Super, and in addition to the typical towns of the residential street. The house is so clean and the kitchen facilities Laundry until everything satisfies the House. Our family is Airbnb was the first time, but not everyone was satisfied."
nur Lager ist Top am sonst war ok.,1,afrikaans,de-en,only storage is a Top on otherwise it was ok.
Super voyage.,1,afrikaans,fr-en,Super journey.
bel hotel,1,afrikaans,en-en,bel hotel
"Prima huisje op prima locatie! Alles wat je nodig hebt is aanwezig, het is schoon en veilig. Metro en supermarkt om de hoek. Uitgaan kan bij het kanal op nog geen 5 min lopen!",1,afrikaans,nl-en,"Great cottage, great location! Everything you need is present, it is clean and safe. Metro and supermarket around the corner. Going out can be at the channel within a 5 min walk!"
"Fantastische accommodatie. 
100% proper, in orde en goed bereikbaar. 
Levendige buurt. 
Kortom alles wat je nodig hebt om Parijs even jouw thuis te maken.",1,afrikaans,nl-en,"Fantastic accommodation. 
100% clean, in order and easily accessible. 
Lively neighborhood. 
In short, everything you need to make Paris your home."
Super voyage merci pour ce week end,1,afrikaans,fr-en,Super trip thank you for this weekend
